factory_licence_no,factory_name,occupier_name,manager_name,product_description,factory_address,pin_code,district,pan,gstin,cin,licence_issue_date,licence_valid_upto,licence_status,num_workers,power_used,installed_capacity_hp,nic_code,last_inspection_date,inspection_result,mobile
KAR/FACT/560100/0075,Beverages Sunrise Ltd,M/s Beverages Sunrise Ltd,A. Sharma,Auto Components products,"Industrial Road, Hosur Road, Bengaluru, B'lore",560100,Bengaluru Urban,XTUAG7657Q,29XTUAG7657Q6Z4,U2930KA1998PTC217659,1998-10-04,2027-10-04,VALID,565,True,606.0,2930,2025-10-21,NOTICE_ISSUED,9166312199
KAR/FACT/560058/0080,Garments Southern Works,M/s Garments Southern Works,A. Sharma,Pharmaceuticals products,"543/3, Service Road, BEL Road, Bengaluru, B'lore",560058,Bengaluru Urban,FQXHL0712V,29FQXHL0712V1Z4,,2016-11-21,2027-11-21,VALID,606,True,487.5,2100,2025-08-06,NOTICE_ISSUED,
KAR/FACT/560100/0085,Janatha Steel Pvt Ltd,M/s Janatha Steel Pvt Ltd,A. Kumar,Chemicals products,"Ring Road, Hosur Road, Bengaluru, 560100",560100,Bengaluru Urban,HVCCU7035B,29HVCCU7035B3Z5,,2013-12-23,2027-12-23,CANCELLED,665,True,527.4,2011,,,9565906941
KAR/FACT/560100/0086,Sri Fabrics Co,M/s Sri Fabrics Co,V. Reddy,Chemicals products,"184/6, Main Road, Neeladri Nagar, Bengaluru, B'lore",560100,Bengaluru Urban,,,,2007-11-14,2027-11-14,VALID,775,True,551.4,2011,2025-08-31,NOTICE_ISSUED,
KAR/FACT/560100/0088,Global Beverages Ent,M/s Global Beverages Ent,S. Reddy,Pharmaceuticals products,"Industrial Road, Hosur Road, Bengaluru, 560100",560100,Bengaluru Urban,,,,2014-11-05,2027-11-05,VALID,257,True,480.1,2100,2026-03-07,SATISFACTORY,9956905222
KAR/FACT/560100/0089,Fabrics Mahalaxmi Ind,M/s Fabrics Mahalaxmi Ind,S. Sharma,Auto Components products,"2nd Cross, Hosur Road, Bengaluru, 560100",560100,Bengaluru Urban,,,,2009-03-05,2027-03-05,VALID,464,True,376.4,2930,2025-08-14,NOTICE_ISSUED,
KAR/FACT/560058/0094,Shree Auto Parts Pvt Ltd,M/s Shree Auto Parts Pvt Ltd,A. Sharma,Auto Components products,"Cross Road, BEL Road, Bengaluru, B'lore",560058,Bengaluru Urban,LFMHP0740B,29LFMHP0740B2Z1,U2930KA2008PTC779445,2008-12-03,2027-12-03,VALID,698,True,537.7,2930,2025-07-26,SATISFACTORY,
KAR/FACT/560100/0095,Bengaluru Motors Traders,M/s Bengaluru Motors Traders,V. Reddy,Pharmaceuticals products,"406/1, 3rd Main, Electronic City Phase 1, Bengaluru, 560100",560100,Bengaluru Urban,LLACG2780D,29LLACG2780D9ZB,,2001-05-10,2027-05-10,VALID,473,True,82.3,2100,2026-03-11,SATISFACTORY,9311606895
KAR/FACT/560100/0097,Electronics Balaji Enterprises,M/s Electronics Balaji Enterprises,S. Kumar,Chemicals products,"887/6, Main Road, Neeladri Nagar, Bengaluru, 560100",560100,Bengaluru Urban,DVZFQ6447O,29DVZFQ6447O2Z1,U2011KA2018PTC331241,2018-09-28,2027-09-28,VALID,38,True,189.2,2011,2026-02-16,SATISFACTORY,9413629152
KAR/FACT/560058/0105,Engineering Infosys Ltd,M/s Engineering Infosys Ltd,S. Kumar,Pharmaceuticals products,"541/1, Cross Road, Peenya 2nd Stage, Bengaluru, 560058",560058,Bengaluru Urban,DWOHL5149C,,,2021-06-25,2027-06-25,VALID,225,True,33.1,2100,2025-03-07,SATISFACTORY,
KAR/FACT/560058/0108,Royal Engg. International,M/s Royal Engg. International,R. Reddy,Chemicals products,"Service Road, Peenya, Bengaluru, 560058",560058,Bengaluru Urban,GMJPE1908W,29GMJPE1908W7ZE,,1997-10-24,2027-10-24,CANCELLED,742,True,219.1,2011,,,
KAR/FACT/560100/0111,Motors Southern Traders,M/s Motors Southern Traders,R. Sharma,Auto Components products,"279/4, Ring Road, Electronic City Phase 2, Bengaluru, 560100",560100,Bengaluru Urban,,,,2010-05-20,2027-05-20,VALID,793,True,394.8,2930,2025-03-09,NOTICE_ISSUED,
KAR/FACT/560058/0124,Printing United International,M/s Printing United International,S. Sharma,Chemicals products,"393/8, 1st Cross, BEL Road, Bengaluru, 560058",560058,Bengaluru Urban,AHDFT6438W,,U2011KA2012PTC381631,2012-02-14,2027-02-14,VALID,25,True,230.9,2011,2025-12-08,SATISFACTORY,
KAR/FACT/560058/0127,Srinivasa Metals Works,M/s Srinivasa Metals Works,V. Reddy,Chemicals products,"Main Road, Peenya 1st Stage, Bengaluru, 560058",560058,Bengaluru Urban,UFPAJ7728L,29UFPAJ7728L4ZT,,1991-04-05,2027-04-05,VALID,643,True,270.3,2011,2025-05-10,SATISFACTORY,
KAR/FACT/560100/0128,Raghavendra Eng Manufacturers,M/s Raghavendra Eng Manufacturers,R. Reddy,Chemicals products,"656/6, 1st Cross, Electronic City Phase 2, Bengaluru, 560100",560100,Bengaluru Urban,RYQHG1788Z,29RYQHG1788Z7ZK,,1994-04-01,2027-04-01,CANCELLED,31,True,441.7,2011,,,9874471936
KAR/FACT/560058/0129,Star Paints Ltd,M/s Star Paints Ltd,V. Sharma,Auto Components products,"2nd Cross, Peenya 2nd Stage, Bengaluru, 560058",560058,Bengaluru Urban,ECDAI7599K,29ECDAI7599K4ZM,,2020-07-01,2027-07-01,VALID,435,True,529.8,2930,2025-03-19,SATISFACTORY,9429730298
KAR/FACT/560100/0131,Balaji Rubber Traders,M/s Balaji Rubber Traders,A. Sharma,Engineering products,"989/8, 3rd Main, Hosur Road, Bengaluru, B'lore",560100,Bengaluru Urban,NSYPK7500X,,,2017-02-13,2027-02-13,VALID,324,True,92.3,2819,2024-11-29,NOTICE_ISSUED,9469742752
KAR/FACT/560100/0132,Furniture Star Factory,M/s Furniture Star Factory,A. Reddy,Pharmaceuticals products,"Industrial Road, Hosur Road, Bengaluru, 560100",560100,Bengaluru Urban,EXVCA2717S,29EXVCA2717S2ZN,U2100KA2011PTC930605,2011-10-03,2027-10-03,VALID,389,True,588.6,2100,2026-01-21,SATISFACTORY,9140118673
KAR/FACT/560058/0134,New Metals Limited,M/s New Metals Limited,S. Reddy,Auto Components products,"Service Road, Peenya Industrial Area, Bengaluru, B'lore",560058,Bengaluru Urban,IARFD8610Q,,U2930KA2000PTC368322,2000-06-08,2027-06-08,VALID,241,True,309.9,2930,2025-04-04,NOTICE_ISSUED,
KAR/FACT/560100/0135,Janatha Ceramics Enterp,M/s Janatha Ceramics Enterp,V. Sharma,Auto Components products,"98/1, Cross Road, Kudlu Gate, Bengaluru, 560100",560100,Bengaluru Urban,,,,2017-07-16,2027-07-16,VALID,179,True,224.9,2930,2025-04-12,NOTICE_ISSUED,9794924237
KAR/FACT/560100/0137,Indian Metals Mfg,M/s Indian Metals Mfg,R. Kumar,Engineering products,"671/6, 1st Cross, Bommanahalli, Bengaluru, 560100",560100,Bengaluru Urban,,,U2819KA1992PTC650311,1992-07-27,2027-07-27,VALID,766,True,389.4,2819,2026-03-01,SATISFACTORY,
KAR/FACT/560058/0139,Mphasis Plastics Pvt Ltd,M/s Mphasis Plastics Pvt Ltd,R. Sharma,Pharmaceuticals products,"106/7, Main Road, Peenya 2nd Stage, Bengaluru, 560058",560058,Bengaluru Urban,OVUAT6856O,29OVUAT6856O6Z3,U2100KA2021PTC985331,2021-10-28,2027-10-28,LAPSED,344,True,378.6,2100,2024-07-25,NOTICE_ISSUED,
KAR/FACT/560058/0155,Venkateshwara Electronics Factory,M/s Venkateshwara Electronics Factory,A. Kumar,Pharmaceuticals products,"962/6, Ring Road, Peenya 2nd Stage, Bengaluru, 560058",560058,Bengaluru Urban,,,U2100KA1999PTC343007,1999-09-10,2027-09-10,VALID,275,True,252.0,2100,2025-12-19,SATISFACTORY,9167496657
KAR/FACT/560100/0164,Janatha Furniture Limited,M/s Janatha Furniture Limited,S. Reddy,Engineering products,"Ring Road, Kudlu Gate, Bengaluru, 560100",560100,Bengaluru Urban,TYLCO8842M,29TYLCO8842M4ZE,U2819KA2006PTC532459,2006-06-06,2027-06-06,VALID,533,True,362.2,2819,2025-06-06,NOTICE_ISSUED,9479134231
KAR/FACT/560100/0165,Electronics Modern Manufacturers,M/s Electronics Modern Manufacturers,R. Kumar,Engineering products,"916/5, Factory Road, Electronic City Phase 2, Bengaluru, 560100",560100,Bengaluru Urban,MFTCI2226E,29MFTCI2226E2Z5,,2010-11-08,2027-11-08,VALID,509,True,414.1,2819,2025-05-21,SATISFACTORY,9812346179
KAR/FACT/560058/0169,Plastics Titan Co,M/s Plastics Titan Co,A. Kumar,Chemicals products,"911/2, Ring Road, BEL Road, Bengaluru, B'lore",560058,Bengaluru Urban,MYWHU8365C,,,2022-09-12,2027-09-12,VALID,329,True,440.1,2011,2025-01-25,SATISFACTORY,9436598800
KAR/FACT/560058/0177,Garments Indian Manufacturers,M/s Garments Indian Manufacturers,S. Sharma,Chemicals products,"1st Cross, Yeshwanthpur, Bengaluru, B'lore",560058,Bengaluru Urban,OIMCT9501J,29OIMCT9501J9ZN,,2018-07-04,2027-07-04,VALID,658,True,342.5,2011,2024-11-19,NOTICE_ISSUED,9933135507
KAR/FACT/560100/0178,Raghavendra Printing Corporation,M/s Raghavendra Printing Corporation,S. Sharma,Engineering products,"Service Road, Electronic City Phase 1, Bengaluru, 560100",560100,Bengaluru Urban,PIQCD0609F,29PIQCD0609F4Z6,,2014-09-06,2027-09-06,VALID,37,True,385.8,2819,2025-08-31,SATISFACTORY,
KAR/FACT/560100/0181,Mphasis Foundry Traders,M/s Mphasis Foundry Traders,V. Kumar,Auto Components products,"292/1, Main Road, Kudlu Gate, Bengaluru, B'lore",560100,Bengaluru Urban,AZFHK0862R,29AZFHK0862R3Z6,,1990-05-06,2027-05-06,CANCELLED,164,True,98.6,2930,,,
KAR/FACT/560058/0182,Star Plastics Group,M/s Star Plastics Group,V. Sharma,Engineering products,"Ring Road, Peenya, Bengaluru, 560058",560058,Bengaluru Urban,AVJHY0738N,29AVJHY0738N2ZE,U2819KA2020PTC990742,2020-07-27,2027-07-27,VALID,16,True,427.5,2819,2026-03-17,NOTICE_ISSUED,9746716453
KAR/FACT/560058/0186,Srinivasa Textiles Pvt Ltd,M/s Srinivasa Textiles Pvt Ltd,S. Reddy,Pharmaceuticals products,"679/6, 1st Cross, Peenya 2nd Stage, Bengaluru, 560058",560058,Bengaluru Urban,HWKPM5794T,29HWKPM5794T3ZC,,2014-10-19,2027-10-19,VALID,579,True,621.6,2100,2025-02-08,SATISFACTORY,9591759000
KAR/FACT/560100/0191,Garments Peoples International,M/s Garments Peoples International,R. Reddy,Pharmaceuticals products,"406/1, Service Road, Neeladri Nagar, Bengaluru, 560100",560100,Bengaluru Urban,TZEAO3384N,29TZEAO3384N1ZX,U2100KA2005PTC586097,2005-05-04,2027-05-04,VALID,666,True,306.6,2100,2026-03-30,NOTICE_ISSUED,
KAR/FACT/560100/0198,Lakshmi Electricals Limited,M/s Lakshmi Electricals Limited,V. Kumar,Auto Components products,"3rd Main, Electronic City Phase 2, Bengaluru, 560100",560100,Bengaluru Urban,PEDAZ7730N,,U2930KA1991PTC489633,1991-07-26,2027-07-26,VALID,314,True,150.2,2930,2025-06-21,SATISFACTORY,9585230723
KAR/FACT/560100/0202,Peoples Foods & Co,M/s Peoples Foods & Co,A. Kumar,Auto Components products,"96/8, Industrial Road, Hosur Road, Bengaluru, B'lore",560100,Bengaluru Urban,,,,1995-11-16,2027-11-16,VALID,732,True,515.5,2930,2025-08-03,SATISFACTORY,9791939208
KAR/FACT/560058/0211,Venkateshwara Motors Works,M/s Venkateshwara Motors Works,R. Reddy,Pharmaceuticals products,"991/3, Cross Road, Rajajinagar Industrial Estate, Bengaluru, 560058",560058,Bengaluru Urban,VTKCM2462X,29VTKCM2462X1ZG,U2100KA1992PTC221628,1992-04-22,2027-04-22,LAPSED,176,True,314.7,2100,2024-08-16,SATISFACTORY,9156396358
KAR/FACT/560100/0212,Bangalore Electricals Works,M/s Bangalore Electricals Works,R. Kumar,Pharmaceuticals products,"950/8, 1st Cross, Bommanahalli, Bengaluru, 560100",560100,Bengaluru Urban,ZRBHR6949I,29ZRBHR6949I5Z6,,2017-02-20,2027-02-20,VALID,405,True,312.7,2100,2025-12-27,SATISFACTORY,9727255103
KAR/FACT/560100/0216,Auto Shree Parts Private Limited,M/s Auto Shree Parts Private Limited,V. Kumar,Pharmaceuticals products,"3rd Main, Bommanahalli, Bengaluru, B'lore",560100,Bengaluru Urban,ONYFP4478C,29ONYFP4478C1ZO,U2100KA1990PTC957710,1990-09-27,2027-09-27,CANCELLED,498,True,87.2,2100,,,9937335963
KAR/FACT/560058/0217,Modern Valves Entp,M/s Modern Valves Entp,S. Kumar,Auto Components products,"Ring Road, Peenya 1st Stage, Bengaluru, 560058",560058,Bengaluru Urban,OZRCJ6863C,29OZRCJ6863C8ZC,,1995-12-02,2027-12-02,VALID,30,True,484.5,2930,2026-02-12,SATISFACTORY,9307331729
KAR/FACT/560058/0222,Sri Foods P Limited,M/s Sri Foods P Limited,S. Sharma,Chemicals products,"Ring Road, Peenya 2nd Stage, Bengaluru, 560058",560058,Bengaluru Urban,BJFPI3870X,,,1999-08-08,2027-08-08,VALID,34,True,328.7,2011,2025-01-24,SATISFACTORY,
KAR/FACT/560058/0225,Star Cables Works,M/s Star Cables Works,V. Kumar,Pharmaceuticals products,"404/8, Service Road, BEL Road, Bengaluru, 560058",560058,Bengaluru Urban,LGOPA6423H,29LGOPA6423H2Z1,,1992-02-05,2027-02-05,VALID,170,True,473.5,2100,2025-12-10,SATISFACTORY,
KAR/FACT/560100/0230,KS Paper Pvt Ltd,M/s KS Paper Pvt Ltd,S. Reddy,Pharmaceuticals products,"233/8, 1st Cross, Electronic City Phase 1, Bengaluru, 560100",560100,Bengaluru Urban,UBJHO9615F,29UBJHO9615F3ZA,,2009-09-21,2027-09-21,VALID,329,True,388.1,2100,2025-12-25,SATISFACTORY,9144186034
KAR/FACT/560100/0233,National Steel Ltd,M/s National Steel Ltd,A. Kumar,Engineering products,"Service Road, Electronic City Phase 2, Bengaluru, B'lore",560100,Bengaluru Urban,KSLHM3239R,,U2819KA2021PTC565798,2021-07-23,2027-07-23,VALID,430,True,540.2,2819,2025-10-20,SATISFACTORY,9896209276
KAR/FACT/560100/0236,Pipes Sunrise Entp,M/s Pipes Sunrise Entp,A. Kumar,Engineering products,"3rd Main, Neeladri Nagar, Bengaluru, 560100",560100,Bengaluru Urban,ZVJFX5810K,29ZVJFX5810K3ZM,,2020-07-13,2027-07-13,VALID,374,True,285.2,2819,2025-11-24,NOTICE_ISSUED,9392777562
KAR/FACT/560058/0239,Shree Cables Mfg,M/s Shree Cables Mfg,R. Reddy,Engineering products,"111/1, Factory Road, Peenya Industrial Area, Bengaluru, 560058",560058,Bengaluru Urban,PMXAB0677T,,U2819KA2017PTC293757,2017-03-17,2027-03-17,VALID,364,True,26.1,2819,2025-11-30,NOTICE_ISSUED,9820051966
KAR/FACT/560058/0247,Global Furniture Group,M/s Global Furniture Group,R. Kumar,Auto Components products,"373/7, 1st Cross, Peenya, Bengaluru, 560058",560058,Bengaluru Urban,VNHPB2586C,29VNHPB2586C2ZL,,2011-09-14,2027-09-14,VALID,548,True,322.2,2930,2025-06-30,NOTICE_ISSUED,9708197748
KAR/FACT/560100/0249,Srinivasa Foods Corporation,M/s Srinivasa Foods Corporation,V. Sharma,Engineering products,"662/3, 1st Cross, Electronic City Phase 2, Bengaluru, 560100",560100,Bengaluru Urban,GGDAA2845N,29GGDAA2845N1ZC,,2016-08-23,2027-08-23,VALID,34,True,178.2,2819,2026-03-13,SATISFACTORY,9246491273
KAR/FACT/560100/0251,Peoples Paper & Co,M/s Peoples Paper & Co,S. Reddy,Auto Components products,"958/7, Factory Road, Kudlu Gate, Bengaluru, B'lore",560100,Bengaluru Urban,EZLPI8056D,29EZLPI8056D7ZU,,2014-02-02,2027-02-02,VALID,153,True,247.7,2930,2025-04-07,NOTICE_ISSUED,9398214359
KAR/FACT/560058/0257,Modern Garments Indus,M/s Modern Garments Indus,S. Reddy,Engineering products,"Ring Road, Peenya, Bengaluru, 560058",560058,Bengaluru Urban,SVAAQ6333R,,,2011-09-28,2027-09-28,VALID,520,True,333.9,2819,2026-01-25,NOTICE_ISSUED,9282392760
KAR/FACT/560100/0261,Star Pipes International,M/s Star Pipes International,S. Kumar,Auto Components products,"Main Road, Electronic City Phase 1, Bengaluru, 560100",560100,Bengaluru Urban,TOPPC3198C,,,1998-12-19,2027-12-19,VALID,417,True,195.8,2930,2024-11-26,NOTICE_ISSUED,9517151813
KAR/FACT/560100/0265,Sunrise Pumps Factory,M/s Sunrise Pumps Factory,V. Kumar,Chemicals products,"3rd Main, Kudlu Gate, Bengaluru, 560100",560100,Bengaluru Urban,,,,2013-03-18,2027-03-18,LAPSED,119,True,548.3,2011,2025-02-15,SATISFACTORY,
KAR/FACT/560058/0268,Sunrise Leather Ent,M/s Sunrise Leather Ent,V. Reddy,Pharmaceuticals products,"22/3, 3rd Main, Peenya 2nd Stage, Bengaluru, 560058",560058,Bengaluru Urban,MLNCS9368V,29MLNCS9368V5ZO,U2100KA2018PTC973548,2018-12-23,2027-12-23,VALID,673,True,494.3,2100,2025-07-27,NOTICE_ISSUED,
KAR/FACT/560058/0269,Electronics Balaji Ltd,M/s Electronics Balaji Ltd,V. Reddy,Pharmaceuticals products,"104/7, Ring Road, Yeshwanthpur, Bengaluru, B'lore",560058,Bengaluru Urban,HFBFA3261Q,,,2000-07-18,2027-07-18,VALID,121,True,416.6,2100,2026-02-09,SATISFACTORY,9562375205
KAR/FACT/560100/0271,Balaji Leather Enterp,M/s Balaji Leather Enterp,V. Reddy,Engineering products,"Cross Road, Electronic City Phase 1, Bengaluru, 560100",560100,Bengaluru Urban,TAVFP3503Y,29TAVFP3503Y4Z9,U2819KA2011PTC655378,2011-11-08,2027-11-08,VALID,238,True,98.3,2819,2025-05-19,NOTICE_ISSUED,
KAR/FACT/560058/0280,Wipro Electronics Traders,M/s Wipro Electronics Traders,V. Sharma,Auto Components products,"Service Road, Peenya 1st Stage, Bengaluru, 560058",560058,Bengaluru Urban,ZOHPF2034F,,U2930KA1991PTC290272,1991-02-20,2027-02-20,VALID,735,True,45.6,2930,2026-03-26,SATISFACTORY,
KAR/FACT/560100/0285,Sri Chemicals Manufacturers,M/s Sri Chemicals Manufacturers,S. Reddy,Auto Components products,"841/7, Factory Road, Bommanahalli, Bengaluru, B'lore",560100,Bengaluru Urban,,,,2003-10-19,2027-10-19,LAPSED,510,True,119.9,2930,2023-12-13,NOTICE_ISSUED,9637220565
KAR/FACT/560100/0287,Steel Shree Ltd,M/s Steel Shree Ltd,S. Sharma,Auto Components products,"Main Road, Bommanahalli, Bengaluru, 560100",560100,Bengaluru Urban,YXFFK3604Z,,U2930KA2011PTC450541,2011-10-19,2027-10-19,VALID,258,True,78.3,2930,2025-06-11,SATISFACTORY,
KAR/FACT/560058/0292,Sunrise Foods Ltd,M/s Sunrise Foods Ltd,A. Kumar,Pharmaceuticals products,"2nd Cross, Peenya 2nd Stage, Bengaluru, 560058",560058,Bengaluru Urban,VAACL0121S,29VAACL0121S6Z2,U2100KA2020PTC308795,2020-10-17,2027-10-17,LAPSED,295,True,122.3,2100,2024-01-11,SATISFACTORY,9312412969
KAR/FACT/560100/0295,Global Chemicals Factory,M/s Global Chemicals Factory,R. Reddy,Pharmaceuticals products,"213/4, Main Road, Kudlu Gate, Bengaluru, 560100",560100,Bengaluru Urban,WKHFM5935E,29WKHFM5935E5ZS,,2015-01-16,2027-01-16,VALID,602,True,34.1,2100,2025-10-20,SATISFACTORY,
KAR/FACT/560100/0296,Bangalore Steel Inds,M/s Bangalore Steel Inds,V. Reddy,Auto Components products,"Factory Road, Hosur Road, Bengaluru, 560100",560100,Bengaluru Urban,HNOPC7900B,29HNOPC7900B6ZC,,2001-10-28,2027-10-28,LAPSED,314,True,501.4,2930,2025-01-21,SATISFACTORY,9368460847
KAR/FACT/560058/0298,Balaji Paper Corporation,M/s Balaji Paper Corporation,S. Sharma,Auto Components products,"Main Road, Rajajinagar Industrial Estate, Bengaluru, B'lore",560058,Bengaluru Urban,LTTFW5307E,,U2930KA1998PTC446292,1998-07-08,2027-07-08,VALID,649,True,537.2,2930,2025-11-16,NOTICE_ISSUED,9710090318
