consumer_no,consumer_name,service_address,pin_code,connection_type,sanctioned_load_kw,connected_load_kw,tariff_category,pan,gstin,connection_date,connection_status,meter_no,mobile
ESCOM/560100/000018,Sunrise Pumps & Co,"Service Road, Hosur Road, Bengaluru, 560100",560100,INDUSTRIAL,73.5,48.0,LT-6,LTVFI7562C,29LTVFI7562C4ZH,2022-07-23,ACTIVE,M60224106,9679984033
ESCOM/560100/000019,Sri Foods Corporation,"878/7, Main Road, Hosur Road, Bengaluru, 560100",560100,INDUSTRIAL,171.4,132.4,LT-2,HKXHN5778P,,2016-06-10,ACTIVE,M58405348,9131165166
ESCOM/560058/000020,Textiles Modern International,"Main Road, Yeshwanthpur, Bengaluru, 560058",560058,INDUSTRIAL,192.7,157.4,LT-2,,,2015-11-25,ACTIVE,M71876231,9153992714
ESCOM/560100/000021,Fabrics Peoples Mfrs,"54/6, Service Road, Kudlu Gate, Bengaluru, 560100",560100,INDUSTRIAL,384.6,358.4,LT-4,UQTPH1011V,,1991-04-04,ACTIVE,M99152237,9851044796
ESCOM/560100/000022,Textiles Premier International,"407/4, 3rd Main, Neeladri Nagar, Bengaluru, 560100",560100,INDUSTRIAL,55.4,44.7,LT-2,,,2009-09-28,ACTIVE,M54656527,
ESCOM/560058/000023,Modern Metals Co,"Service Road, Peenya Industrial Area, Bengaluru, B'lore",560058,INDUSTRIAL,219.6,169.4,LT-3,,,2013-07-25,DISCONNECTED,M93409529,
ESCOM/560100/000024,Janatha Printing Group,"846/5, 3rd Main, Hosur Road, Bengaluru, 560100",560100,INDUSTRIAL,173.5,124.1,LT-5,VCWCH7563P,29VCWCH7563P3ZV,2020-11-08,SURRENDERED,M56832065,9956665975
ESCOM/560058/000026,Pipes Karnataka Manufacturers,"612/5, Service Road, Peenya 2nd Stage, Bengaluru, 560058",560058,INDUSTRIAL,242.0,204.4,LT-4,HJHCW5295W,29HJHCW5295W8Z6,2007-02-21,ACTIVE,M55123620,
ESCOM/560058/000027,Auto Infosys Parts Pvt Ltd,"831/5, Industrial Road, Peenya, Bengaluru, B'lore",560058,INDUSTRIAL,211.0,141.1,LT-5,,,1993-06-24,ACTIVE,M38340450,9699226355
ESCOM/560100/000028,Pharmaceuticals Wipro Factory,"971/4, Cross Road, Neeladri Nagar, Bengaluru, 560100",560100,INDUSTRIAL,345.3,279.4,LT-4,REEHC1464B,,1993-01-07,ACTIVE,M43457347,9587512424
ESCOM/560058/000030,Premier Garments Group,"668/8, Service Road, BEL Road, Bengaluru, B'lore",560058,INDUSTRIAL,277.3,208.6,LT-4,ZLVCC4431F,29ZLVCC4431F8ZI,2001-05-07,ACTIVE,M64579662,9529982328
ESCOM/560058/000031,Mphasis Metals Ind,"2nd Cross, Yeshwanthpur, Bengaluru, 560058",560058,COMMERCIAL,278.4,260.4,LT-3,FOYPO8406Z,,2002-07-11,ACTIVE,M91103212,9691458887
ESCOM/560058/000032,Paints Global Limited,"426/8, 1st Cross, Peenya 2nd Stage, Bengaluru, 560058",560058,INDUSTRIAL,364.4,244.9,LT-2,LDECT5882Z,29LDECT5882Z6ZW,2022-03-01,ACTIVE,M88326827,9102754426
ESCOM/560100/000033,Packaging Global Ent,"891/4, 2nd Cross, Hosur Road, Bengaluru, B'lore",560100,INDUSTRIAL,169.3,114.9,LT-3,OGUCB3493V,29OGUCB3493V3ZV,2014-10-16,ACTIVE,M47099111,9639331014
ESCOM/560058/000034,Wipro Valves Co,"Ring Road, Peenya Industrial Area, Bengaluru, B'lore",560058,INDUSTRIAL,460.9,340.6,LT-5,QWWFR3377R,,1999-04-19,SURRENDERED,M76804338,9777703980
ESCOM/560058/000035,Venkateshwara Paints Limited,"816/1, 2nd Cross, Peenya Industrial Area, Bengaluru, 560058",560058,INDUSTRIAL,232.5,151.6,LT-5,LGKHV7108T,29LGKHV7108T8Z9,1991-09-25,ACTIVE,M10560569,
ESCOM/560058/000036,Titan Paper Limited,"1st Cross, Peenya 2nd Stage, Bengaluru, 560058",560058,INDUSTRIAL,389.0,303.2,LT-4,WCJFL5929V,29WCJFL5929V1Z3,2017-06-04,ACTIVE,M60056883,
ESCOM/560100/000039,Mahalaxmi Beverages International,"380/9, Ring Road, Hosur Road, Bengaluru, B'lore",560100,INDUSTRIAL,274.5,244.7,LT-5,XRVCT4903O,29XRVCT4903O4ZN,1998-03-06,DISCONNECTED,M72510077,9836243579
ESCOM/560100/000040,Foods Raghavendra Co,"250/3, 2nd Cross, Bommanahalli, Bengaluru, 560100",560100,INDUSTRIAL,129.1,86.7,LT-2,BTFCG8277T,,1991-11-26,ACTIVE,M68578100,
ESCOM/560058/000041,JSW Textiles Pvt Ltd,"760/7, Industrial Road, Peenya Industrial Area, Bengaluru, B'lore",560058,INDUSTRIAL,216.0,141.1,LT-5,MUNPD4267V,29MUNPD4267V8Z1,2006-07-17,ACTIVE,M27955119,9614302907
ESCOM/560100/000042,Balaji Fabrics Pvt Ltd,"Service Road, Neeladri Nagar, Bengaluru, B'lore",560100,INDUSTRIAL,172.8,144.8,LT-2,NLPAD7168R,29NLPAD7168R4ZR,2007-04-06,ACTIVE,M67014890,
ESCOM/560100/000043,Balaji Ceramics International,"Cross Road, Bommanahalli, Bengaluru, 560100",560100,INDUSTRIAL,406.8,324.4,LT-4,,,2020-02-20,DISCONNECTED,M61736393,9893276164
ESCOM/560100/000044,Pipes United Industries,"1st Cross, Neeladri Nagar, Bengaluru, 560100",560100,INDUSTRIAL,137.4,94.9,LT-3,EMWCL8375Z,29EMWCL8375Z9ZZ,2008-03-06,ACTIVE,M60686108,9806340901
ESCOM/560058/000045,United Electricals Factory,"Industrial Road, Peenya Industrial Area, Bengaluru, 560058",560058,INDUSTRIAL,229.6,140.7,LT-6,,,2015-04-07,ACTIVE,M75485012,
ESCOM/560058/000046,Electronics Balaji Group,"279/8, Cross Road, Peenya 2nd Stage, Bengaluru, 560058",560058,INDUSTRIAL,8.8,7.1,LT-4,PKFFQ1426P,29PKFFQ1426P5Z2,1993-02-18,ACTIVE,M31637697,9743520276
ESCOM/560100/000047,Shree Auto Parts & Co,"390/9, Industrial Road, Electronic City Phase 1, Bengaluru, B'lore",560100,COMMERCIAL,483.3,450.9,LT-1,ORJAM8009K,29ORJAM8009K7ZQ,2017-11-03,ACTIVE,M24813575,9534900128
ESCOM/560100/000048,Bengaluru Metals Factory,"Cross Road, Neeladri Nagar, Bengaluru, 560100",560100,INDUSTRIAL,303.2,193.9,LT-1,IENCD5173U,29IENCD5173U4Z6,2015-12-11,ACTIVE,M15577862,
ESCOM/560100/000050,Srinivasa Valves Corporation,"Service Road, Neeladri Nagar, Bengaluru, B'lore",560100,COMMERCIAL,127.6,114.9,LT-5,LVQPK6594Z,29LVQPK6594Z6Z5,1995-09-19,ACTIVE,M49179926,9285283722
ESCOM/560100/000051,Wipro Cables Enterp,"68/6, 2nd Cross, Kudlu Gate, Bengaluru, B'lore",560100,INDUSTRIAL,363.2,264.5,LT-3,,,1993-05-18,ACTIVE,M24785812,9405100495
ESCOM/560058/000052,Leather KS & Co,"318/9, Cross Road, Peenya, Bengaluru, 560058",560058,INDUSTRIAL,474.1,416.1,LT-6,VRVHX9906Q,29VRVHX9906Q6ZJ,2015-06-02,ACTIVE,M76693865,
ESCOM/560058/000053,Royal Printing Corporation,"898/3, 2nd Cross, Peenya 2nd Stage, Bengaluru, B'lore",560058,INDUSTRIAL,375.5,298.9,LT-1,EVUCZ9703X,,1992-03-19,ACTIVE,M44104421,
ESCOM/560058/000055,Packaging Indian International,"Main Road, BEL Road, Bengaluru, B'lore",560058,INDUSTRIAL,7.6,6.5,LT-5,ZJAFD8671J,29ZJAFD8671J8Z8,1991-04-01,ACTIVE,M93248140,
ESCOM/560100/000056,Royal Pharmaceuticals Ltd,"245/7, Main Road, Bommanahalli, Bengaluru, B'lore",560100,INDUSTRIAL,335.8,308.3,LT-3,LCXAT5657J,29LCXAT5657J6ZF,2009-11-02,ACTIVE,M22580784,9301126777
ESCOM/560058/000057,United Auto Parts Industries,"766/1, 1st Cross, Rajajinagar Industrial Estate, Bengaluru, B'lore",560058,INDUSTRIAL,406.7,314.4,LT-1,ITQPY5713K,29ITQPY5713K3ZT,2014-02-23,ACTIVE,M51581684,9778321204
ESCOM/560058/000058,Indian Garments Enterprises,"3rd Main, Yeshwanthpur, Bengaluru, B'lore",560058,INDUSTRIAL,347.6,243.0,LT-4,TEJPY0627N,29TEJPY0627N8ZO,2009-07-12,SURRENDERED,M27114145,9300593456
ESCOM/560058/000059,Pumps Sunrise P Limited,"82/6, Cross Road, Rajajinagar Industrial Estate, Bengaluru, 560058",560058,INDUSTRIAL,259.0,169.0,LT-3,LSEHO3083N,29LSEHO3083N1Z4,2008-12-07,ACTIVE,M90428606,9536164913
ESCOM/560100/000060,Fabrics Balaji Ltd,"3rd Main, Electronic City Phase 2, Bengaluru, 560100",560100,INDUSTRIAL,457.2,303.5,LT-2,YJTFS1332D,,2013-09-26,DISCONNECTED,M29935529,
ESCOM/560100/000061,Karnataka Engg. Pvt. Ltd.,"Industrial Road, Hosur Road, Bengaluru, B'lore",560100,INDUSTRIAL,492.6,321.4,LT-4,RSOHJ8879U,,1994-02-15,ACTIVE,M89222522,
ESCOM/560100/000062,Balaji Rubber International,"1st Cross, Bommanahalli, Bengaluru, 560100",560100,INDUSTRIAL,261.5,215.7,LT-6,VBZFU0451Y,29VBZFU0451Y3Z8,1995-06-09,DISCONNECTED,M28182834,
ESCOM/560100/000063,Bangalore Foods Co,"630/9, 1st Cross, Electronic City Phase 1, Bengaluru, B'lore",560100,INDUSTRIAL,81.3,73.3,LT-1,,,2007-10-17,ACTIVE,M83866570,9735449477
ESCOM/560058/000064,Leather Sri Group,"786/7, Factory Road, Peenya 2nd Stage, Bengaluru, 560058",560058,INDUSTRIAL,173.4,124.3,LT-1,MQHPJ4862C,29MQHPJ4862C3ZS,2006-08-05,ACTIVE,M20113777,9598690974
ESCOM/560058/000066,Premier Packaging Industries,"Ring Road, Rajajinagar Industrial Estate, Bengaluru, B'lore",560058,INDUSTRIAL,254.6,154.5,LT-5,WLWPX3400R,,1993-11-17,ACTIVE,M45565389,9178954113
ESCOM/560058/000067,Steel Mahalaxmi Entp,"2nd Cross, Yeshwanthpur, Bengaluru, B'lore",560058,INDUSTRIAL,495.4,449.6,LT-4,KBBAW3446Q,,2011-11-02,ACTIVE,M31796114,
ESCOM/560100/000068,Auto KS Parts Corporation,"690/2, 2nd Cross, Electronic City Phase 2, Bengaluru, 560100",560100,INDUSTRIAL,316.4,251.1,LT-4,HXWAU0497Y,29HXWAU0497Y4Z3,1991-05-04,ACTIVE,M28776181,9283085932
ESCOM/560058/000069,New Engg. Ltd,"2nd Cross, BEL Road, Bengaluru, B'lore",560058,INDUSTRIAL,275.4,233.6,LT-3,KUXCX7755V,29KUXCX7755V7ZK,1991-07-20,ACTIVE,M31396585,9672440825
ESCOM/560100/000071,Pumps Karnataka Works,"1st Cross, Neeladri Nagar, Bengaluru, B'lore",560100,INDUSTRIAL,467.8,421.4,LT-2,GBXAH6047D,29GBXAH6047D3Z0,2007-01-16,ACTIVE,M72227520,9536913550
ESCOM/560100/000072,Garments Srinivasa International,"548/1, Factory Road, Kudlu Gate, Bengaluru, 560100",560100,INDUSTRIAL,145.9,127.5,LT-2,KVYCB9349J,29KVYCB9349J1ZJ,1995-10-19,ACTIVE,M83438660,9215213239
ESCOM/560100/000074,Premier Pipes Factory,"2nd Cross, Electronic City Phase 2, Bengaluru, 560100",560100,INDUSTRIAL,205.7,160.0,LT-4,,,1990-09-17,DISCONNECTED,M23232997,
ESCOM/560100/000075,Sunrise Beverages Ltd,"Industrial Road, Hosur Road, Bengaluru, 560100",560100,INDUSTRIAL,451.9,385.0,LT-6,XTUAG7657Q,29XTUAG7657Q6Z4,1998-06-06,ACTIVE,M88688642,
ESCOM/560058/000076,Fabrics Global International,"Main Road, BEL Road, Bengaluru, 560058",560058,INDUSTRIAL,272.9,241.2,LT-1,OORFJ7387S,,2022-01-24,ACTIVE,M75391808,
ESCOM/560100/000077,Cables Venkateshwara Pvt Ltd,"3rd Main, Electronic City Phase 2, Bengaluru, 560100",560100,INDUSTRIAL,274.5,196.8,LT-3,DWDAR3198Y,,2016-07-11,ACTIVE,M51877993,
ESCOM/560100/000078,Southern Pipes Group,"3rd Main, Bommanahalli, Bengaluru, B'lore",560100,INDUSTRIAL,496.8,305.4,LT-1,CAPPW8204R,,1997-09-04,ACTIVE,M53440066,
ESCOM/560100/000079,KS Electricals Co,"1st Cross, Hosur Road, Bengaluru, B'lore",560100,INDUSTRIAL,96.0,89.9,LT-2,WXQAN5036M,29WXQAN5036M6ZQ,2004-08-08,ACTIVE,M21398992,9422002819
ESCOM/560058/000080,Southern Garments Works,"543/3, Service Road, BEL Road, Bengaluru, B'lore",560058,INDUSTRIAL,363.5,337.5,LT-3,FQXHL0712V,29FQXHL0712V1Z4,2016-02-22,ACTIVE,M51069244,
ESCOM/560058/000081,Southern Foods & Co,"937/4, Ring Road, Peenya 2nd Stage, Bengaluru, B'lore",560058,INDUSTRIAL,420.7,254.0,LT-3,KGICJ3532Q,29KGICJ3532Q8Z6,1997-08-25,ACTIVE,M29629278,
ESCOM/560058/000082,Shree Chemicals Works,"Industrial Road, Rajajinagar Industrial Estate, Bengaluru, 560058",560058,INDUSTRIAL,246.7,190.9,LT-3,VMRAV3747X,29VMRAV3747X3ZM,2016-05-22,SURRENDERED,M23940368,9873430762
ESCOM/560058/000083,Textiles Royal Traders,"Factory Road, Peenya 1st Stage, Bengaluru, 560058",560058,INDUSTRIAL,310.8,234.1,LT-3,,,1998-12-10,ACTIVE,M11316903,9500721199
ESCOM/560100/000085,Steel Janatha Pvt Ltd,"Ring Road, Hosur Road, Bengaluru, B'lore",560100,INDUSTRIAL,393.3,254.5,LT-2,HVCCU7035B,29HVCCU7035B3Z5,2013-09-17,SURRENDERED,M75166188,9565906941
ESCOM/560100/000086,Fabrics Sri Co,"Main Road, Neeladri Nagar, Bengaluru, 560100",560100,INDUSTRIAL,411.2,322.8,LT-2,,,2007-03-05,ACTIVE,M62417385,9254824511
ESCOM/560100/000087,Steel JSW Group,"513/6, Cross Road, Kudlu Gate, Bengaluru, 560100",560100,INDUSTRIAL,304.6,207.9,LT-5,,,1998-03-15,ACTIVE,M15268533,9181623972
ESCOM/560100/000088,Global Beverages Enterprises,"Industrial Road, Hosur Road, Bengaluru, B'lore",560100,INDUSTRIAL,358.0,300.2,LT-6,,,2014-05-13,ACTIVE,M18605530,9956905222
ESCOM/560100/000091,Infosys Motors Corporation,"2nd Cross, Hosur Road, Bengaluru, 560100",560100,INDUSTRIAL,185.7,172.7,LT-6,YFIAM9264S,29YFIAM9264S6ZO,2011-04-16,DISCONNECTED,M70025338,9943817764
ESCOM/560058/000092,Foods New Manufacturers,"Cross Road, Peenya 1st Stage, Bengaluru, 560058",560058,INDUSTRIAL,352.3,278.5,LT-1,QGRCW4345S,29QGRCW4345S9ZQ,2008-03-09,DISCONNECTED,M94620202,9949030118
ESCOM/560100/000093,Srinivasa Rubber Indus,"109/1, 3rd Main, Electronic City Phase 2, Bengaluru, 560100",560100,INDUSTRIAL,281.2,230.6,LT-3,,,2015-03-06,ACTIVE,M44096844,9901927335
ESCOM/560058/000094,Shree Auto Parts Pvt Ltd,"119/3, Cross Road, BEL Road, Bengaluru, B'lore",560058,INDUSTRIAL,401.0,300.2,LT-6,LFMHP0740B,29LFMHP0740B2Z1,2008-11-14,ACTIVE,M62504007,9217427280
ESCOM/560100/000095,Bengaluru Motors Traders,"3rd Main, Electronic City Phase 1, Bengaluru, 560100",560100,INDUSTRIAL,61.4,40.3,LT-5,LLACG2780D,29LLACG2780D9ZB,2001-06-20,ACTIVE,M34949351,
ESCOM/560100/000096,Packaging Mahalaxmi Entp,"834/5, Industrial Road, Neeladri Nagar, Bengaluru, 560100",560100,INDUSTRIAL,319.6,245.9,LT-4,CDDAJ1313T,,2019-10-09,ACTIVE,M76623117,9299451515
ESCOM/560100/000097,Balaji Electronics Enterprises,"887/6, Main Road, Neeladri Nagar, Bengaluru, B'lore",560100,COMMERCIAL,141.1,119.3,LT-5,DVZFQ6447O,29DVZFQ6447O2Z1,2018-08-10,ACTIVE,M55208990,
ESCOM/560058/000098,Chemicals Mahalaxmi Group,"779/8, Main Road, Yeshwanthpur, Bengaluru, 560058",560058,INDUSTRIAL,346.1,237.8,LT-2,CVTFJ8028C,29CVTFJ8028C2ZF,2013-09-01,ACTIVE,M17899249,9892005907
ESCOM/560058/000099,Janatha Garments Factory,"1st Cross, Yeshwanthpur, Bengaluru, B'lore",560058,INDUSTRIAL,415.1,269.5,LT-2,HGWHV8174B,29HGWHV8174B3Z8,2012-08-27,ACTIVE,M35357873,9863854401
ESCOM/560100/000100,Infosys Foundry Private Limited,"Service Road, Hosur Road, Bengaluru, 560100",560100,INDUSTRIAL,249.9,215.4,LT-1,LMPHY8096W,29LMPHY8096W2ZY,1995-07-22,DISCONNECTED,M34241116,9561325766
ESCOM/560100/000101,Indian Ceramics Group,"Cross Road, Bommanahalli, Bengaluru, 560100",560100,INDUSTRIAL,5.3,4.9,LT-4,,,1993-09-13,ACTIVE,M51959106,9573827182
ESCOM/560058/000103,Raghavendra Foundry Ind,"2nd Cross, Peenya 2nd Stage, Bengaluru, 560058",560058,COMMERCIAL,307.1,239.7,LT-6,SMFFC7138E,29SMFFC7138E3Z9,1990-03-21,ACTIVE,M56444838,9704829337
ESCOM/560100/000104,Foundry Raghavendra Corporation,"Cross Road, Bommanahalli, Bengaluru, B'lore",560100,INDUSTRIAL,98.4,90.0,LT-6,JLUFH2056T,29JLUFH2056T1ZJ,2003-02-24,ACTIVE,M92183928,
ESCOM/560058/000105,Infosys Engineering Ltd,"Cross Road, Peenya 2nd Stage, Bengaluru, B'lore",560058,INDUSTRIAL,24.7,16.4,LT-5,DWOHL5149C,,2021-04-05,ACTIVE,M44774103,9381519299
ESCOM/560100/000106,New Steel Pvt Ltd,"Cross Road, Electronic City Phase 2, Bengaluru, 560100",560100,INDUSTRIAL,229.4,213.2,LT-6,ZEICS6860W,29ZEICS6860W4Z3,1999-01-03,ACTIVE,M82475726,9566523205
ESCOM/560058/000108,Royal Engg. International,"Service Road, Peenya, Bengaluru, B'lore",560058,INDUSTRIAL,163.4,130.3,LT-6,GMJPE1908W,29GMJPE1908W7ZE,1997-09-17,SURRENDERED,M81004291,
ESCOM/560058/000109,Lakshmi Foundry Corporation,"336/2, 1st Cross, Peenya 1st Stage, Bengaluru, B'lore",560058,COMMERCIAL,120.3,80.7,LT-3,JHUPX6454Y,29JHUPX6454Y9ZF,2008-06-27,ACTIVE,M34454164,9540272920
ESCOM/560058/000110,United Pipes & Co,"543/4, Factory Road, Peenya Industrial Area, Bengaluru, B'lore",560058,INDUSTRIAL,42.0,39.8,LT-4,ZDHPB9857L,29ZDHPB9857L2Z6,2009-11-04,DISCONNECTED,M61101195,9784205125
ESCOM/560100/000111,Motors Southern Traders,"Ring Road, Electronic City Phase 2, Bengaluru, B'lore",560100,INDUSTRIAL,294.4,221.6,LT-6,,,2010-06-24,ACTIVE,M74738983,9937450959
ESCOM/560058/000112,Foundry KS Limited,"827/5, Industrial Road, Peenya Industrial Area, Bengaluru, 560058",560058,INDUSTRIAL,375.3,232.0,LT-2,BVIAC7930J,29BVIAC7930J3Z1,1997-12-07,SURRENDERED,M40748095,
ESCOM/560058/000113,Steel Peoples Enterp,"940/2, 1st Cross, Yeshwanthpur, Bengaluru, 560058",560058,INDUSTRIAL,405.6,262.7,LT-2,,,1995-06-28,DISCONNECTED,M92788872,9793623149
ESCOM/560100/000114,Venkateshwara Paper Traders,"392/7, Main Road, Hosur Road, Bengaluru, 560100",560100,INDUSTRIAL,212.5,191.5,LT-2,XHLCE0622N,29XHLCE0622N8Z3,2015-08-17,ACTIVE,M54535464,9511259527
ESCOM/560058/000115,Janatha Paints Ent,"Ring Road, Yeshwanthpur, Bengaluru, 560058",560058,INDUSTRIAL,136.9,96.0,LT-2,EIFHZ7095Y,29EIFHZ7095Y4ZA,2020-08-23,ACTIVE,M21440685,9805302800
ESCOM/560058/000116,United Motors Traders,"Industrial Road, Peenya 1st Stage, Bengaluru, B'lore",560058,INDUSTRIAL,302.8,243.2,LT-5,XASHS5519P,29XASHS5519P3ZV,2012-10-12,ACTIVE,M69615333,9160309911
ESCOM/560058/000117,New Electronics International,"152/3, Main Road, Peenya Industrial Area, Bengaluru, 560058",560058,INDUSTRIAL,484.5,296.9,LT-1,WYJAV3131F,29WYJAV3131F7ZV,2010-07-03,ACTIVE,M81001868,
ESCOM/560058/000118,KS Pipes & Co,"Industrial Road, Peenya, Bengaluru, 560058",560058,INDUSTRIAL,176.7,107.0,LT-6,KZZAB1386U,29KZZAB1386U8Z9,2008-01-08,ACTIVE,M67317462,
ESCOM/560100/000119,Shree Chemicals Ltd,"359/5, Cross Road, Kudlu Gate, Bengaluru, 560100",560100,COMMERCIAL,151.0,113.4,LT-1,BLKPF8435D,29BLKPF8435D4ZA,2005-05-16,ACTIVE,M27911649,9958128631
ESCOM/560058/000120,Fabrics Indian Enterprises,"Main Road, Peenya 2nd Stage, Bengaluru, 560058",560058,INDUSTRIAL,420.7,370.4,LT-6,ECFFG4595V,29ECFFG4595V4Z6,2020-11-05,ACTIVE,M61282957,9713933158
ESCOM/560100/000121,Mahalaxmi Textiles Ltd,"84/8, 1st Cross, Kudlu Gate, Bengaluru, B'lore",560100,INDUSTRIAL,135.4,87.9,LT-2,UMXHI0518L,,2000-09-19,ACTIVE,M96109122,9572167680
ESCOM/560058/000123,Balaji Garments Traders,"3rd Main, Peenya 2nd Stage, Bengaluru, 560058",560058,INDUSTRIAL,78.4,55.1,LT-2,ISUHC3332O,29ISUHC3332O1ZX,1995-04-22,ACTIVE,M54746788,
ESCOM/560058/000124,Printing United International,"1st Cross, BEL Road, Bengaluru, 560058",560058,COMMERCIAL,172.2,105.2,LT-1,AHDFT6438W,,2012-02-15,ACTIVE,M67599489,
ESCOM/560058/000125,Pipes KS Mfg,"3rd Main, Rajajinagar Industrial Estate, Bengaluru, 560058",560058,COMMERCIAL,91.0,63.6,LT-3,XKMCQ8851J,29XKMCQ8851J7Z8,2010-04-13,SURRENDERED,M92155635,
ESCOM/560100/000126,Packaging Bangalore Corporation,"3rd Main, Neeladri Nagar, Bengaluru, 560100",560100,INDUSTRIAL,427.6,263.1,LT-6,JPECP5318X,29JPECP5318X2ZI,2019-05-13,DISCONNECTED,M19280060,9153312407
ESCOM/560058/000127,Srinivasa Metals Works,"486/3, Main Road, Peenya 1st Stage, Bengaluru, 560058",560058,INDUSTRIAL,201.6,133.5,LT-4,UFPAJ7728L,29UFPAJ7728L4ZT,1991-12-16,ACTIVE,M57004257,9659030686
ESCOM/560100/000128,Engg Raghavendra Manufacturers,"656/6, 1st Cross, Electronic City Phase 2, Bengaluru, B'lore",560100,COMMERCIAL,329.4,247.4,LT-4,RYQHG1788Z,29RYQHG1788Z7ZK,1994-10-25,SURRENDERED,M21400975,
ESCOM/560058/000129,Star Paints Ltd,"520/5, 2nd Cross, Peenya 2nd Stage, Bengaluru, B'lore",560058,INDUSTRIAL,395.1,362.2,LT-5,ECDAI7599K,29ECDAI7599K4ZM,2020-03-10,ACTIVE,M42250248,
ESCOM/560058/000130,Indian Foods Works,"543/5, 3rd Main, Peenya 1st Stage, Bengaluru, B'lore",560058,INDUSTRIAL,319.1,242.1,LT-6,DFKCS8918F,29DFKCS8918F8ZL,1997-06-11,ACTIVE,M53585438,9289863614
ESCOM/560100/000131,Balaji Rubber Traders,"989/8, 3rd Main, Hosur Road, Bengaluru, 560100",560100,INDUSTRIAL,68.8,47.8,LT-5,NSYPK7500X,,2017-12-07,ACTIVE,M14343160,9469742752
ESCOM/560100/000132,Star Furniture Factory,"Industrial Road, Hosur Road, Bengaluru, 560100",560100,INDUSTRIAL,438.9,357.5,LT-5,EXVCA2717S,29EXVCA2717S2ZN,2011-03-22,ACTIVE,M53006197,9140118673
ESCOM/560058/000133,Engg. New Traders,"561/5, Cross Road, BEL Road, Bengaluru, B'lore",560058,INDUSTRIAL,393.5,291.4,LT-6,FRACN6626E,29FRACN6626E2ZW,2018-04-08,ACTIVE,M21445614,
